n-gram (n =2),Location
"{expolio,peluis}",prud. epil. 16 |4.5|
"{expolita,peluis}",prud. epil. 16 |4.5|
"{fidelis,innocens}",prud. epil. 2 |2.3|
"{fidelis,pudicus}",prud. epil. 2 |2.4|
"{fio,utile}",prud. epil. 21 |3.4|
"{fio,utilis}",prud. epil. 21 |3.4|
"{fit,utile}",prud. epil. 21 |3.4|
"{fit,utilis}",prud. epil. 21 |3.4|
"{fulgeo,aureus}",prud. epil. 15 |1.2|
"{fulgeo,scyphus}",prud. epil. 15 |1.3|
"{fulget,aureus}",prud. epil. 15 |1.2|
"{fulget,scyphus}",prud. epil. 15 |1.3|
"{grauis,ampla}",prud. epil. 18 |1.3|
"{grauis,amplo}",prud. epil. 18 |1.3|
"{grauis,amplus}",prud. epil. 18 |1.3|
"{grauis,argentea}",prud. epil. 18 |1.4|
"{grauis,argenteus}",prud. epil. 18 |1.4|
"{grauis,est}",prud. epil. 18 |1.5|
"{grauis,et}",prud. epil. 18 |1.2|
"{grauis,parapsis}",prud. epil. 18 |1.6|
"{grauis,sum}",prud. epil. 18 |1.5|
"{grauisque,ampla}",prud. epil. 18 |1.3|
"{grauisque,amplo}",prud. epil. 18 |1.3|
"{grauisque,amplus}",prud. epil. 18 |1.3|
"{grauisque,argentea}",prud. epil. 18 |1.4|
"{grauisque,argenteus}",prud. epil. 18 |1.4|
"{grauisque,est}",prud. epil. 18 |1.5|
"{grauisque,et}",prud. epil. 18 |1.2|
"{grauisque,parapsis}",prud. epil. 18 |1.6|
"{grauisque,sum}",prud. epil. 18 |1.5|
"{ille,accidit}",prud. epil. 33 |2.3|
"{ille,accido}",prud. epil. 33 |2.3|
"{ille,fictilis}",prud. epil. 17 |3.4|
"{illud,accidit}",prud. epil. 33 |2.3|
"{illud,accido}",prud. epil. 33 |2.3|
"{in,anguli}",prud. epil. 28 |3.4|
"{in,angulus}",prud. epil. 28 |3.4|
"{in,atrio}",prud. epil. 25 |3.4|
"{in,atrium}",prud. epil. 25 |3.4|
"{in,atrius}",prud. epil. 25 |3.4|
"{in,maneo}",prud. epil. 28 |3.5|
"{in,manere}",prud. epil. 28 |3.5|
"{in,mano}",prud. epil. 28 |3.5|
"{ineo,intra}",prud. epil. 30 |1.2|
"{ineo,intro}",prud. epil. 30 |1.2|
"{ineo,regia}",prud. epil. 30 |1.3|
"{ineo,regiam}",prud. epil. 30 |1.3|
"{ineo,regius}",prud. epil. 30 |1.3|
"{ineo,salus}",prud. epil. 30 |1.4|
"{ineo,salutis}",prud. epil. 30 |1.4|
"{inimus,intra}",prud. epil. 30 |1.2|
"{inimus,intro}",prud. epil. 30 |1.2|
"{inimus,regia}",prud. epil. 30 |1.3|
"{inimus,regiam}",prud. epil. 30 |1.3|
"{inimus,regius}",prud. epil. 30 |1.3|
"{inimus,salus}",prud. epil. 30 |1.4|
"{inimus,salutis}",prud. epil. 30 |1.4|
"{inmolat,deo}",prud. epil. 1 |1.2|
"{inmolat,deus}",prud. epil. 1 |1.2|
"{inmolat,pater}",prud. epil. 1 |1.3|
"{inmolat,patri}",prud. epil. 1 |1.3|
"{inmolat,patrium}",prud. epil. 1 |1.3|
"{inmolat,patrius}",prud. epil. 1 |1.3|
"{inmolo,deo}",prud. epil. 1 |1.2|
"{inmolo,deus}",prud. epil. 1 |1.2|
"{inmolo,pater}",prud. epil. 1 |1.3|
"{inmolo,patri}",prud. epil. 1 |1.3|
"{inmolo,patrium}",prud. epil. 1 |1.3|
"{inmolo,patrius}",prud. epil. 1 |1.3|
"{innocens,pudicus}",prud. epil. 2 |3.4|
"{instruo,domum}",prud. epil. 23 |1.3|
"{instruo,domus}",prud. epil. 23 |1.3|
"{instruo,enim}",prud. epil. 23 |1.2|
"{instruunt,domum}",prud. epil. 23 |1.3|
"{instruunt,domus}",prud. epil. 23 |1.3|
"{instruunt,enim}",prud. epil. 23 |1.2|
"{intra,regia}",prud. epil. 30 |2.3|
"{intra,regiam}",prud. epil. 30 |2.3|
"{intra,regius}",prud. epil. 30 |2.3|
"{intra,salus}",prud. epil. 30 |2.4|
"{intra,salutis}",prud. epil. 30 |2.4|
"{intro,regia}",prud. epil. 30 |2.3|
"{intro,regiam}",prud. epil. 30 |2.3|
"{intro,regius}",prud. epil. 30 |2.3|
"{intro,salus}",prud. epil. 30 |2.4|
"{intro,salutis}",prud. epil. 30 |2.4|
"{iuuabit,aurum}",prud. epil. 34 |1.2|
"{iuuabit,christum}",prud. epil. 34 |1.4|
"{iuuabit,christus}",prud. epil. 34 |1.4|
"{iuuabit,ore}",prud. epil. 34 |1.2|
"{iuuabit,os}",prud. epil. 34 |1.2|
"{iuuabit,personasse}",prud. epil. 34 |1.3|
"{iuuo,aurum}",prud. epil. 34 |1.2|
"{iuuo,christum}",prud. epil. 34 |1.4|
"{iuuo,christus}",prud. epil. 34 |1.4|
"{iuuo,ore}",prud. epil. 34 |1.2|
"{iuuo,os}",prud. epil. 34 |1.2|
"{iuuo,personasse}",prud. epil. 34 |1.3|
"{leuamen,pauper}",prud. epil. 10 |3.4|
"{leuamen,pauperum}",prud. epil. 10 |3.4|
"{leuamen,possum}",prud. epil. 10 |3.5|
"{leuamen,potens}",prud. epil. 10 |3.5|
"{leuamen,potentes}",prud. epil. 10 |3.5|
"{magno,ligno}",prud. epil. 24 |3.6|
"{magno,lignum}",prud. epil. 24 |3.6|
"{magno,parata}",prud. epil. 24 |3.5|
"{magno,paratus}",prud. epil. 24 |3.5|
"{magno,paro}",prud. epil. 24 |3.5|
"{magno,sic}",prud. epil. 24 |3.4|
"{magnus,ligno}",prud. epil. 24 |3.6|
"{magnus,lignum}",prud. epil. 24 |3.6|
"{magnus,parata}",prud. epil. 24 |3.5|
"{magnus,paratus}",prud. epil. 24 |3.5|
"{magnus,paro}",prud. epil. 24 |3.5|
"{magnus,sic}",prud. epil. 24 |3.4|
"{me,atrio}",prud. epil. 25 |1.4|
"{me,atrium}",prud. epil. 25 |1.4|
"{me,atrius}",prud. epil. 25 |1.4|
"{me,in}",prud. epil. 25 |1.3|
"{me,paterno}",prud. epil. 25 |1.2|
"{me,paternus}",prud. epil. 25 |1.2|
"{mens,abundat}",prud. epil. 4 |3.4|
"{mens,abundo}",prud. epil. 4 |3.4|
"{mens,intus}",prud. epil. 4 |3.5|
"{multa,diues}",prud. epil. 13 |1.2|
"{multa,diuitis}",prud. epil. 13 |1.2|
"{multa,domo}",prud. epil. 13 |1.3|
"{multa,domus}",prud. epil. 13 |1.3|
"{multo,diues}",prud. epil. 13 |1.2|
"{multo,diuitis}",prud. epil. 13 |1.2|
"{multo,domo}",prud. epil. 13 |1.3|
"{multo,domus}",prud. epil. 13 |1.3|
"{multus,diues}",prud. epil. 13 |1.2|
"{multus,diuitis}",prud. epil. 13 |1.2|
"{multus,domo}",prud. epil. 13 |1.3|
"{multus,domus}",prud. epil. 13 |1.3|
"{munus,ecce}",prud. epil. 29 |1.2|
"{munus,fictile}",prud. epil. 29 |1.3|
"{munus,fictilis}",prud. epil. 29 |1.3|
"{nec,ad}",prud. epil. 10 |1.2|
"{nec,aer}",prud. epil. 16 |1.2|
"{nec,aere}",prud. epil. 16 |1.2|
"{nec,aes}",prud. epil. 16 |1.2|
"{nec,defio}",prud. epil. 16 |1.3|
"{nec,defit}",prud. epil. 16 |1.3|
"{nec,expolio}",prud. epil. 16 |1.4|
"{nec,expolita}",prud. epil. 16 |1.4|
"{nec,leuamen}",prud. epil. 10 |1.3|
"{nec,pauper}",prud. epil. 10 |1.4|
"{nec,pauperum}",prud. epil. 10 |1.4|
"{nec,peluis}",prud. epil. 16 |1.5|
"{nec,possum}",prud. epil. 10 |1.5|
"{nec,potens}",prud. epil. 10 |1.5|
"{nec,potentes}",prud. epil. 10 |1.5|
"{neque,ad}",prud. epil. 10 |1.2|
"{neque,aer}",prud. epil. 16 |1.2|
"{neque,aere}",prud. epil. 16 |1.2|
"{neque,aes}",prud. epil. 16 |1.2|
"{neque,defio}",prud. epil. 16 |1.3|
"{neque,defit}",prud. epil. 16 |1.3|
"{neque,expolio}",prud. epil. 16 |1.4|
"{neque,expolita}",prud. epil. 16 |1.4|
"{neque,leuamen}",prud. epil. 10 |1.3|
"{neque,pauper}",prud. epil. 10 |1.4|
"{neque,pauperum}",prud. epil. 10 |1.4|
"{neque,peluis}",prud. epil. 16 |1.5|
"{neque,possum}",prud. epil. 10 |1.5|
"{neque,potens}",prud. epil. 10 |1.5|
"{neque,potentes}",prud. epil. 10 |1.5|
"{nonnulla,cauata}",prud. epil. 20 |1.4|
"{nonnulla,cauo}",prud. epil. 20 |1.4|
"{nonnulla,et}",prud. epil. 20 |1.5|
"{nonnulla,quercu}",prud. epil. 20 |1.2|
"{nonnulla,quercus}",prud. epil. 20 |1.2|
"{nonnulla,sum}",prud. epil. 20 |1.3|
"{nonnulla,sunt}",prud. epil. 20 |1.3|
"{nonnulla,ulmo}",prud. epil. 20 |1.6|
"{nonnulla,ulmus}",prud. epil. 20 |1.6|
"{nonnullus,cauata}",prud. epil. 20 |1.4|
"{nonnullus,cauo}",prud. epil. 20 |1.4|
"{nonnullus,et}",prud. epil. 20 |1.5|
"{nonnullus,quercu}",prud. epil. 20 |1.2|
"{nonnullus,quercus}",prud. epil. 20 |1.2|
"{nonnullus,sum}",prud. epil. 20 |1.3|
"{nonnullus,sunt}",prud. epil. 20 |1.3|
"{nonnullus,ulmo}",prud. epil. 20 |1.6|
"{nonnullus,ulmus}",prud. epil. 20 |1.6|
"{nos,cieo}",prud. epil. 7 |1.2|
"{nos,citos}",prud. epil. 7 |1.2|
"{nos,citus}",prud. epil. 7 |1.2|
"{nos,iambicos}",prud. epil. 7 |1.3|
"{obsequela,praestitisse}",prud. epil. 32 |2.3|
"{obsequela,praesto}",prud. epil. 32 |2.3|
"{obsequela,prodest}",prud. epil. 32 |2.4|
"{obsequela,prodo}",prud. epil. 32 |2.4|
"{obsequela,prosum}",prud. epil. 32 |2.4|
"{obsequellam,praestitisse}",prud. epil. 32 |2.3|
"{obsequellam,praesto}",prud. epil. 32 |2.3|
"{obsequellam,prodest}",prud. epil. 32 |2.4|
"{obsequellam,prodo}",prud. epil. 32 |2.4|
