n-gram (n =2),Location
"{aciem,aquoso}",prud. ham. 2.90 |3.7|
"{aciem,aquosus}",prud. ham. 2.90 |3.7|
"{aciem,astra}",prud. ham. 2.895 |3.7|
"{aciem,astrum}",prud. ham. 2.895 |3.7|
"{aciem,campo}",prud. ham. 2.414 |2.5|
"{aciem,campus}",prud. ham. 2.414 |2.5|
"{aciem,iugulandus}",prud. ham. 2.152 |3.4|
"{aciem,iugulo}",prud. ham. 2.152 |3.4|
"{aciem,per}","prud. ham. 2.895 |3.4| , prud. ham. 2.895 |3.4|"
"{aciem,qui}",prud. ham. 2.90 |3.4|
"{aciem,quis}",prud. ham. 2.90 |3.4|
"{aciem,quod}",prud. ham. 2.90 |3.4|
"{aciem,rura}",prud. ham. 2.895 |3.5|
"{aciem,ruro}",prud. ham. 2.895 |3.5|
"{aciem,rus}",prud. ham. 2.895 |3.5|
"{aciem,tegimen}",prud. ham. 2.90 |3.5|
"{aciem,tegmine}",prud. ham. 2.90 |3.5|
"{aciem,toto}",prud. ham. 2.414 |2.3|
"{aciem,totus}",prud. ham. 2.414 |2.3|
"{aciem,uelet}",prud. ham. 2.90 |3.6|
"{aciem,uelo}",prud. ham. 2.90 |3.6|
"{aciem,uolitantia}",prud. ham. 2.414 |2.4|
"{aciem,uolito}",prud. ham. 2.414 |2.4|
"{acies,adorat}",prud. ham. 2.152 |3.5|
"{acies,adoro}",prud. ham. 2.152 |3.5|
"{acies,aquoso}",prud. ham. 2.90 |3.7|
"{acies,aquosus}",prud. ham. 2.90 |3.7|
"{acies,astra}",prud. ham. 2.895 |3.7|
"{acies,astrum}",prud. ham. 2.895 |3.7|
"{acies,campo}",prud. ham. 2.414 |2.5|
"{acies,campus}",prud. ham. 2.414 |2.5|
"{acies,diuortia}",prud. ham. 2.4 |2.5|
"{acies,diuortium}",prud. ham. 2.4 |2.5|
"{acies,duo}",prud. ham. 2.4 |2.3|
"{acies,ignio}",prud. ham. 2.874 |3.8|
"{acies,ignis}",prud. ham. 2.874 |3.8|
"{acies,iugulandus}",prud. ham. 2.152 |3.4|
"{acies,iugulo}",prud. ham. 2.152 |3.4|
"{acies,nec}",prud. ham. 2.874 |3.4|
"{acies,neque}",prud. ham. 2.874 |3.4|
"{acies,parua}",prud. ham. 2.874 |3.6|
"{acies,paruus}",prud. ham. 2.874 |3.6|
"{acies,per}","prud. ham. 2.4 |2.4| , prud. ham. 2.895 |3.4| , prud. ham. 2.895 |3.4|"
"{acies,pupula}",prud. ham. 2.874 |3.5|
"{acies,qui}",prud. ham. 2.90 |3.4|
"{acies,quis}",prud. ham. 2.90 |3.4|
"{acies,quod}",prud. ham. 2.90 |3.4|
"{acies,rura}",prud. ham. 2.895 |3.5|
"{acies,ruro}",prud. ham. 2.895 |3.5|
"{acies,rus}",prud. ham. 2.895 |3.5|
"{acies,sed}",prud. ham. 2.874 |3.7|
"{acies,semper}",prud. ham. 2.4 |2.6|
"{acies,tegimen}",prud. ham. 2.90 |3.5|
"{acies,tegmine}",prud. ham. 2.90 |3.5|
"{acies,toto}",prud. ham. 2.414 |2.3|
"{acies,totus}",prud. ham. 2.414 |2.3|
"{acies,uelet}",prud. ham. 2.90 |3.6|
"{acies,uelo}",prud. ham. 2.90 |3.6|
"{acies,uolitantia}",prud. ham. 2.414 |2.4|
"{acies,uolito}",prud. ham. 2.414 |2.4|
"{acis,acerba}",prud. ham. 2.196 |3.6|
"{acis,acerbo}",prud. ham. 2.196 |3.6|
"{acis,acerbum}",prud. ham. 2.196 |3.6|
"{acis,acerbus}",prud. ham. 2.196 |3.6|
"{acis,medulla}",prud. ham. 2.196 |3.7|
"{acis,medullis}",prud. ham. 2.196 |3.7|
"{acis,medullum}",prud. ham. 2.196 |3.7|
"{acis,medullus}",prud. ham. 2.196 |3.7|
"{acis,traho}",prud. ham. 2.196 |3.5|
"{acis,traxit}",prud. ham. 2.196 |3.5|
"{acis,uim}",prud. ham. 2.196 |3.4|
"{acis,uis}",prud. ham. 2.196 |3.4|
"{acuit,fallacia}",prud. ham. 2.225 |4.5|
"{acuit,sensus}",prud. ham. 2.225 |4.6|
"{acuit,sentio}",prud. ham. 2.225 |4.6|
"{acuo,fallacia}",prud. ham. 2.225 |4.5|
"{acuo,sensus}",prud. ham. 2.225 |4.6|
"{acuo,sentio}",prud. ham. 2.225 |4.6|
"{ad,ara}",prud. ham. 1.3 |2.3|
"{ad,aram}",prud. ham. 1.3 |2.3|
"{ad,astra}",prud. ham. 2.845 |5.6|
"{ad,astrum}",prud. ham. 2.845 |5.6|
"{ad,aura}",prud. ham. 2.823 |3.8|
"{ad,auras}",prud. ham. 2.823 |3.8|
"{ad,auro}",prud. ham. 2.823 |3.8|
"{ad,axem}",prud. ham. 2.906 |6.7|
"{ad,axis}",prud. ham. 2.906 |6.7|
"{ad,bella}",prud. ham. 2.499 |5.6|
"{ad,bellum}",prud. ham. 2.499 |5.6|
"{ad,bellus}",prud. ham. 2.499 |5.6|
