"player_api_id","player_name","overall_rating","gk_rating","appearances","league_appearances"
169217,"Alejandro Bedoya",75,125,70,2
151079,"Alejandro Bergantinos",74,128,93,1
45220,"Alejandro Daro Gomez",79,46,144,1
10348,"Alejandro Dominguez",78,150,39,1
97657,"Alejandro Faurlin",75,162,34,2
303484,"Alejandro Galvez",76,46,94,2
168569,"Alejandro Gonzalez",73,45,22,1
288406,"Alejandro Grimaldo Garcia",70,50,2,1
187150,"Alejandro Martinuccio",75,50,5,1
282470,"Alejandro Pozuelo",72,50,39,3
302911,"Aleksandar Bjelica",65,60,11,2
364496,"Aleksandar Cavric",68,57,6,1
522571,"Aleksandar Damcevski",64,50,8,1
167094,"Aleksandar Ignjovski",73,128,73,1
16351,"Aleksandar Kolarov",79,154,157,2
426005,"Aleksandar Kovacevic",63,57,12,1
37515,"Aleksandar Lukovic",78,151,53,1
155739,"Aleksandar Miljkovic",70,47,7,1
34067,"Aleksandar Mitreski",71,130,17,1
351860,"Aleksandar Mitrovic",76,53,48,2
280638,"Aleksandar Pantic",73,52,51,1
164519,"Aleksandar Pesic",73,60,27,1
124144,"Aleksandar Prijovic",71,124,39,2
26680,"Aleksandar Rankovic",65,130,12,1
278866,"Aleksandar Stevanovic",65,50,2,1
69018,"Aleksandar Todorovski",65,62,64,1
156534,"Aleksandar Tonev",67,51,59,4
208852,"Aleksandar Trajkovski",68,60,57,2
27476,"Aleksandar Vasoski",77,130,13,1
306158,"Aleksander Jagiello",61,45,9,1
68839,"Aleksander Kwiek",67,137,135,1
3441,"Aleksander Radosavljevic",71,138,74,1
22822,"Aleksander Seliga",67,338,32,1
26169,"Aleksandr Hleb",84,163,46,3
89828,"Aleksandrs Fertovs",61,50,26,1
31191,"Aleksei Kangaskolkka",62,49,1,1
395154,"Alen Halilovic",77,60,24,1
173913,"Alen Melunovic",57,113,8,1
191081,"Alen Stevanovic",74,147,8,1
39145,"Alesandro Cordaro",69,146,135,1
39763,"Alessandro Agostini",74,133,182,1
39470,"Alessandro Bernardini",71,129,14,1
39762,"Alessandro Budel",80,171,4,1
74452,"Alessandro Carrozza",72,54,3,1
197848,"Alessandro Cerigioni",65,54,9,1
41424,"Alessandro Ciarrocchi",60,106,41,1
154238,"Alessandro Crescenzi",65,50,9,1
561819,"Alessandro Damen",64,321,11,1
30727,"Alessandro Del Piero",87,156,69,1
41475,"Alessandro Diamanti",83,148,142,2
264842,"Alessandro Florenzi",79,48,103,1
42443,"Alessandro Frara",68,89,14,1
24504,"Alessandro Gamberini",84,145,179,1
41816,"Alessandro Gazzi",77,142,159,1
27606,"Alessandro Grandoni",81,159,1,1
182843,"Alessandro Iacobucci",67,334,5,1
7683,"Alessandro Iandoli",66,49,57,1
73047,"Alessandro Lambrughi",67,111,2,1
215725,"Alessandro Longhi",69,48,48,1
27679,"Alessandro Lucarelli",75,151,189,1
11747,"Alessandro Mangiarrati",60,120,56,1
41411,"Alessandro Matri",81,120,148,1
30723,"Alessandro Nesta",91,138,64,1
41729,"Alessandro Parisi",78,154,40,1
620524,"Alessandro Piu",63,50,2,1
39314,"Alessandro Potenza",75,149,55,1
167369,"Alessandro Riedle",64,133,2,1
31304,"Alessandro Rosina",79,148,56,1
461357,"Alessandro Schoepf",72,53,5,1
42652,"Alessandro Sgrigna",72,114,7,1
41269,"Alessio Cerci",82,116,126,1
282706,"Alessio Cragno",70,338,14,1
602306,"Alessio Da Cruz",63,66,1,1
39197,"Alessio Manzoni",62,126,1,1
362195,"Alessio Romagnoli",76,52,70,1
41762,"Alessio Scarpi",75,385,9,1
42482,"Alessio Sestu",73,143,31,1
24469,"Alex Baptiste",72,114,19,1
35480,"Alex Bruce",68,136,36,1
363343,"Alex Bruno",65,50,17,1
80566,"Alex Bruno",71,135,5,1
39204,"Alex Calderoni",73,377,8,1
306062,"Alex Cooper",60,54,12,1
213500,"Alex Fernandez",74,64,5,1
447488,"Alex Ferrari",67,50,13,1
265618,"Alex Goncalves",70,50,14,1
